,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
8600,6465,West Mackay,pm25,7,"{'utc': '2019-10-12T14:00:00+00:00', 'local': '2019-10-13T00:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8603,6465,West Mackay,pm25,7,"{'utc': '2019-10-12T15:00:00+00:00', 'local': '2019-10-13T01:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8606,6465,West Mackay,pm25,7,"{'utc': '2019-10-12T16:00:00+00:00', 'local': '2019-10-13T02:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8609,6465,West Mackay,pm25,7,"{'utc': '2019-10-12T17:00:00+00:00', 'local': '2019-10-13T03:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8612,6465,West Mackay,pm25,7.1,"{'utc': '2019-10-12T18:00:00+00:00', 'local': '2019-10-13T04:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8615,6465,West Mackay,pm25,7.2,"{'utc': '2019-10-12T19:00:00+00:00', 'local': '2019-10-13T05:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8618,6465,West Mackay,pm25,7.4,"{'utc': '2019-10-12T20:00:00+00:00', 'local': '2019-10-13T06:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8621,6465,West Mackay,pm25,7.5,"{'utc': '2019-10-12T21:00:00+00:00', 'local': '2019-10-13T07:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8624,6465,West Mackay,pm25,7.8,"{'utc': '2019-10-12T22:00:00+00:00', 'local': '2019-10-13T08:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8627,6465,West Mackay,pm25,8,"{'utc': '2019-10-12T23:00:00+00:00', 'local': '2019-10-13T09:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8629,6465,West Mackay,pm25,8,"{'utc': '2019-10-13T00:00:00+00:00', 'local': '2019-10-13T10:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8634,6465,West Mackay,pm25,8,"{'utc': '2019-10-13T01:00:00+00:00', 'local': '2019-10-13T11:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8635,6465,West Mackay,pm25,8,"{'utc': '2019-10-13T02:00:00+00:00', 'local': '2019-10-13T12:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8639,6465,West Mackay,pm25,8,"{'utc': '2019-10-13T03:00:00+00:00', 'local': '2019-10-13T13:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
