,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
67,7400,Kensington,pm10,32.0,"{'utc': '2019-12-26T11:00:00+00:00', 'local': '2019-12-26T21:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
68,7400,Kensington,pm10,21.0,"{'utc': '2019-12-26T12:00:00+00:00', 'local': '2019-12-26T22:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
69,7400,Kensington,pm10,17.0,"{'utc': '2019-12-26T13:00:00+00:00', 'local': '2019-12-26T23:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
70,7400,Kensington,pm10,23.0,"{'utc': '2019-12-26T14:00:00+00:00', 'local': '2019-12-27T00:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
71,7400,Kensington,pm10,15.0,"{'utc': '2019-12-26T15:00:00+00:00', 'local': '2019-12-27T01:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
72,7400,Kensington,pm10,22.0,"{'utc': '2019-12-26T16:00:00+00:00', 'local': '2019-12-27T02:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
73,7400,Kensington,pm10,13.0,"{'utc': '2019-12-26T17:00:00+00:00', 'local': '2019-12-27T03:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
74,7400,Kensington,pm10,20.0,"{'utc': '2019-12-26T18:00:00+00:00', 'local': '2019-12-27T04:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
75,7400,Kensington,pm10,15.0,"{'utc': '2019-12-26T19:00:00+00:00', 'local': '2019-12-27T05:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
76,7400,Kensington,pm10,15.0,"{'utc': '2019-12-26T20:00:00+00:00', 'local': '2019-12-27T06:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
